local_site_name,count
Ontario-Route 60 Near Road,2154
Oildale,2154
Placerville-Gold Nugget Way,2147
Ogden,2134
BISMARCK RESIDENTIAL,2131
PAUL SMITHS,2130
ACADIA NATIONAL PARK RANGER STATION;SITE MOVED JANUARY 1998,2129
Edison,2119
Carlsbad Caverns NP - Maintenance Area,2111
NE OF AVE. DE LA INDUSTRIA & TOMAS FERNANDEZ INTERSECTION,2111
Boulder Reservoir,2106
"CLINTON, RAINBOW PARK",2103
Tualatin Bradbury Court (TBC) - Near Road Site,2102
"DAVENPORT, BH FOUNDRY",2090
Sonora-Barretta Street,2085
Ontario Near Road (Etiwanda),2074
Modesto-14th Street,2047
PCI MET1,2041
PFIZER LAB SITE,2023
El Cajon - Lexington Elementary School,2019
OCI #4,2009
San Luis Obispo,1991
Arvin-Di Giorgio,1946
Chaco Culture NHP - Radio Repeater,1922
GERONIMO,1916
Farson Met,1905
Visalia-Church,1898
TULSA NORTH (SKIATOOK),1872
Echo Summit,1865
WISHRAM - HWY 14,1863
Northwest,1863
"Prairie State Generating Company, LLC",1848
APPLETON AVE,1837
ATHENS OU,1826
SOUTH ROAD BRENTWOOD,1807
Fort Lee Near Road,1801
RACINE,1797
La Habra,1796
Joe Neal,1785
Greenwich Point Park,1734
JD Smith,1734
Dinosaur NM - West Entrance Housing,1728
Minidoka National Historic Site,1727
HERITAGE PARK,1706
PONCA TRIBE,1697
Mecca (Saul Martinez),1695
Long Beach-Route 710 Near Road,1679
SITE LOCATED IN BORDERLAND STATE PARK.,1672
"LOCATED IN PINE RIVER VALLEY, THE MOST DENSELY POPULATED AREA.",1670
Blackstone,1656
ROSE PARK,1652
"IOWA CITY, HOOVER SCH.",1650
TATA MET,1644
NCORE,1642
LIVONIA-NR,1638
SOUTH OF BADLANDS NP HEADQUARTERS,1629
FHR 420,1621
Anadarko Spotted Horse Met Station,1616
Redlands,1606
"WAUKESHA, CARROLL COLLEGE",1574
Cleveland Near Road,1569
Joshua Tree NP - Cottonwood Visitor Center,1555
La Grande Hall and N St. (LHN),1554
Corpus Christi Palm,1548
TONTO NM,1547
TVA Fly ash spill site,1546
"Walden - Colorado, Chandler Ranch",1541
Tooele,1540
ROCKY FLATS-N,1508
MARBLE CITY SHELTER,1507
Jarbidge Wilderness,1492
"MASON CITY, HOLCIM",1490
SITE IS LOCATED ON THE EASTERN RIM OF THE ANIMAS RIVER VALLEY.,1484
SHAVER LAKE SUMMMER OZONE SITE,1461
West Los Angeles,1461
Trona - Athol/Telescope #2,1460
Hesperia-Olive Street,1455
LOGAN #4,1454
Haleakala National Park,1453
Barstow,1452
MSU,1441
ON HILL NEAR PARK OFFICE AND MAINTENANCE SHOP,1435
Victorville-Park Avenue,1422
"TRANSPORT STUDY - MOUNTAIN TERRAIN, VERY MINIMAL TRAFFIC.",1418
Dave Johnston Air Quality Station,1417
Brigantine,1417
LAKE DUBAY,1399
Johnson County,1397
22ND & ALVERNON,1394
El Paso Sun Metro,1392
????,1390
Sequoia NP-Ash Mountain,1381
Frying Pan Mountain,1368
Phelan-Beekley Road & Phelan Road,1366
"Paonia, Colorado",1366
Bayonne,1366
Camden Spruce Street,1365
"Great Smoky Mountains National Park, Clingman's Dome",1359
VALLEY CENTRAL HIGH SCHOOL,1355
Flemington,1354
Lake Ilo,1348
"Petrified Forest National Park, South Entrance",1346
"Great Smoky Mountains National Park, Cade's Cove",1340
Mojave,1339
Colfax,1333
LIBERTY ST PARKING LOT,1318
Bliss SP,1315
MILWAUKEE UWM-NORTH,1313
HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.,1307
Leavenworth,1295
SITE MOVED FROM LOST HORSE TO BLACK ROCK CANYON S. OF YUCCA VALLEY,1285
Tallgrass Energy Partners - Met Tower,1280
5 MI E OF HWY 395 AT COSO JUNCTION,1272
Lancaster-Division Street,1270
USFS COMPOUND ON EAST EDGE OF TOWN,1245
SIPSEY (closed 11-01-2007),1234
Sutter Buttes (seasonal),1222
DEVILS LAKE PARK,1222
Cumberland Gap NHP - Hensley Settlement,1220
Ajax Mountain,1216
Hollister,1205
Algonquin Parkway,1199
Yosemite National Park - Merced River Site,1188
Savannah-E. President,1185
Elizabeth Lab,1182
"SAC AND FOX NATION, STROUD",1173
Cool,1165
UNDEVELOPED HILL CREST NEAR AMP-OHIO'S ASH LANDFILL,1164
