local_site_name,count
Eliza Downwind,5212
Remount,5210
NR-285,5174
Cottonwood,5133
A420110009LAT/LONG POINT IS OF SAMPLING INLET,5127
Preble NCore,5104
Near Road I-35/I-94,5100
Converse County Long-Term,5082
NORTH OF TOWER RD. & WATERWORKS RD. INTERSECTION,5072
Fort Worth California Parkway North,5059
Paw Park,5049
Shadyside,5048
New Roads,5040
CHANUTE,5036
JARDINE WATER PLANT,5034
TULSA SOUTH,5033
Aldino,5007
CEDAR BLUFF,4994
Atascadero,4988
Convent,4980
Ontario Near Road (Etiwanda),4972
Pittsboro Elementary School,4970
Larpenteur Avenue,4958
Santa Barbara-W. Carrillo St.,4930
Globeville,4863
Sidney Oil Field,4862
Long Beach-Route 710 Near Road,4858
San Diego -Rancho Carmel Drive,4808
SETRPC  40  Sabine Pass,4767
Reading Airport,4758
Bryan Park,4744
NW OF COLORADO & W. CESAR CHAVEZ STREETS INTERSECTION,4716
Houston North Loop,4694
SITE IS LOCATED IN A FIELD JUST SW OF INTERSTATE 25,4682
MILLER STATE PARK,4667
Car-Barn Montgomery I -76,4632
SITE IS LOCATED AT THE CHIPITA PARK ELECTRICAL SUBSTATION.,4605
Rochester Near-Road,4598
Ontario-Route 60 Near Road,4594
WEST OF HIGHWAY 85/87 ON THE PINELLO RANCH PROPERTY.,4580
Erda,4578
North East Waste (NEW),4553
San Jose - 4th St.,4512
SITE IS LOCATED JUST NORTH OF THE NIXON POWER PLANT.,4467
PARKLANE,4464
Near Road I-35,4450
"Gardiner, Pray Street School  (GPSS)",4444
Vernal #4,4432
Bayonne,4384
CHASE (COVINGTON),4384
Tacoma-S 36th St,4374
Kapolei,4338
Pt. Arguello,4294
Victorville-Amargosa Road,4199
TOYOTA SITE,4188
UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,4156
Joe Neal,4124
Salinas-Natividad Rd.,4090
LAT/LON POINT IS TRAILER,4019
SHELTER IN PARKING LOT OF INTERSECTION OF MARGINAL WAY & PREBLE,4018
Millville,4014
Livermore - Old 1st St.,4009
Jersey City,4008
Riverside (Magnolia),3998
SAWGRASS SPRINGS MIDDLE SCHOOL,3968
Maryland Heights,3940
Near Road - Fort Lauderdale,3934
Munro Street (Near-Road),3924
Antelope Site 7,3910
CINCINNATI,3887
LOUDONVILLE,3884
County Line,3870
PLANT SITE --- QUALITECH,3864
AG Holley,3854
CAPE ROMAIN,3854
HOLTSVILLE,3823
Berkeley- Aquatic Park,3822
QUEEN VALLEY,3796
Ryder,3758
Daniela Banu NCORE,3724
ROCKY FLATS-N,3689
Chaco Culture NHP - Radio Repeater,3676
TRIWEST HIGH SCHOOL --- QUALITECH_DOWNWIND SITE,3673
Santa Maria-500 S. Broadway,3644
SPM STATION FOR BACKGROUND STUDY,3632
Sacramento-Bercut Drive,3612
SOUTH ROAD BRENTWOOD,3606
ATHENS OU,3600
LAT/LON POINT = NE CORNER OF TRAILER,3566
SCOTT COUNTY PARK,3564
PONCA TRIBE,3518
Union County #2 Renken,3508
Dripping Springs School,3472
FRANKLIN_PK,3464
Indpls.- I 70,3460
Patterson Pass,3446
SITE LOCATED IN BORDERLAND STATE PARK.,3388
"INTERSECTION OF FOUNTAIN AND ACADEMY, SOUTHEAST OF THE CITY",3384
TRAILER IN RV PARK (MAYCLIFF RV & STORAGE) (Site closed; new site: JM),3325
Spanish Fork,3324
Reno4,3318
Sidney 201,3304
White Mountain Research Center - Owens Valley Lab,3286
POTAWATOMI,3268
Lindon,3262
LIVONIA-NR,3258
Perimeter Road,3232
OKC WEST-(YUKON),3202
GILSON ROAD,3163
Palo Verde,3160
Fairgrounds,3150
Springfield Near Road Site,3124
ROSE PARK,3110
Apex,3085
Copper View,3080
Harrisville,3077
DEVILS LAKE PARK,3070
Hernando,3068
Sherwood Island Connector (see coordinates),3065
