local_site_name,count
Oldtown,3922
El Cajon - Lexington Elementary School,3919
LOCATED ABOUT 1/4 MILE WEST OF SITE,3917
CHELAN - WOODIN AVE,3909
STARBUCK - 6TH AVE,3906
PINNACLE STATE PARK,3889
Albemarle High School,3873
Bryson City,3856
La Grande Hall and N St. (LHN),3855
SEILING MUNICIPAL AIRPORT,3836
LAIRD,3830
OKC NORTH,3816
Criscuolo Park-New Haven,3815
OAKLAND,3791
4102 Woolworth Ave. on Healthcenter Warehouse,3769
LIBRARY (DAYTON PUBLIC,3726
MEADOWDALE - BLACKBIRD DR,3723
PDO - Portland Deering Oaks,3708
SOUTH OF BADLANDS NP HEADQUARTERS,3694
APPLETON - AAL,3690
Queens College Near Road,3667
SPRINGDALE,3649
MARION,3644
DOYLE SPRINGS ROAD,3633
Burbank,3618
East Vinton Elementary School,3613
"Mount Rainier National Park, Tahoma Woods",3579
Ft. Pierce,3574
POTAWATOMI,3567
Bellevue-SE 12th St,3565
QUEENS COLLEGE 2,3528
Redwood NP,3526
GREEN BAY EAST HIGH,3507
POTOSI,3483
Jarbidge Wilderness,3468
TONTO NM,3457
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",3455
HARRINGTON BEACH PARK,3452
Coeur d'Alene - Lancaster Rd.,3441
Sycamore,3433
RED BLUFF-310 S. MAIN STREET,3425
Great Smoky Mountains NP - Look Rock,3420
Point Reyes NS Ranger Station,3416
Wenonah Elementary School,3401
Humboldt Hill,3397
Wenatchee-Fifth St,3394
Yosemite NP - Turtleback Dome,3394
Omak-Colville Tribe,3390
NMH48217 NEW MT HERMAN CHURCH,3383
HUNTSVILLE OLD AIRPORT,3377
Silverton - (SJW),3375
MUSCATINE HS - East Campus School Roof,3370
San Diego - Beardsley Street,3346
CHIWAUKEE PRAIRIE STATELINE,3323
El Cajon,3313
City of Burlington Parking Lot,3308
THOMPSON FALLS HIGH SCHOOL,3306
Pomeroy Sewage Treatment Plant,3252
Sequoia NP-Ash Mountain,3246
SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD,3244
EAU CLAIRE - DOT SIGN SHOP,3242
LACROSSE - DOT BUILDING,3233
SPOKANE - AUGUSTA AVE,3203
NORTHWEST NAZARENE COLLEGE SAMPLER ON ARTS BUILDING IN SUB. SETTING,3200
North East Airport (NEA),3195
Albany,3192
Tukwila Allentown,3184
Quincy-3rd Ave NE,3178
North Provo,3176
Royal Palm Beach,3168
MILWAUKEE - COLLEGE AVE. PARK & RIDE,3166
WHALEY PK 3610 IOWA (FLINT),3164
Tualatin Bradbury Court (TBC) - Near Road Site,3157
MADISON EAST,3137
MANHATTANVILLE POST OFFICE,3125
West Yellowstone Park Ent,3109
USK - LECLERC RD (KALISPEL TRIBE),3100
MOORE WATER TOWER,3085
WISHRAM - HWY 14,3078
Bliss SP,3056
TULSA SOUTH,3052
ROSE ELEMENTARY,3049
GREENVILLE HEALTH DEPT,3048
GERONIMO,3045
PS 44,3040
Oakland West,3039
COACHLINE,3034
Ajax Mountain,3033
Weaverville-Courthouse,3024
Riverside (Magnolia),3019
Arnold West,3006
GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,3003
FIA/Lafayette,3000
LAWTON NORTH,2962
CHASE (COVINGTON),2954
SIPSEY (closed 11-01-2007),2946
MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,2898
Alexandria,2874
Fond du Lac Band 7416,2874
McDonald Observatory,2866
Newark Firehouse,2859
HEALDTON LAKE,2847
PARK ROW,2843
"CRUZ BAY, ST JOHN U.S. VIRGIN ISLANDS",2835
SAGUARO PARK,2832
Western Conn State Univ,2822
Lafayette- Greenbush St./ Cinergy Substation,2821
Hawaii Volcanoes NP - Kilauea Visitors Center,2797
Austin Webberville Rd,2793
KENDUSKEAG PUMP STATION (BUILDING ROOF),2788
"Medford, Welch and Jackson.",2765
THE NW STREET AT THE 11 STREET,2728
Long Beach (North),2686
COUNTRY KITCHEN BAKERY PARKING LOT,2680
CEDAR BLUFF,2674
WESTSIDE TAYLOR RANCH,2665
Frying Pan Mountain,2657
Bonne Terre,2651
Beaumont Mary,2646
Jackson NCORE,2638
Long Beach (South),2628
Portland Cully Helensview School (PCH),2623
"3425 N FIRST ST, FRESNO",2608
FORT LEE,2581
HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.,2574
Apex,2547
CAMDEN LAB,2541
Rocky Mountain NP - Long's Peak,2512
Truckee-Fire Station,2510
Pinnacles NP - Southwest of East Entrance Station,2503
Denali NP & PRES - Headquarters,2497
"CAMP DODGE, GREENS GRANT",2496
Kooker Park,2484
Natural Bridge Ranger Station,2473
Chiricahua NM - Entrance Station,2459
Glacier NP - West Glacier Horse Stables,2448
DARRINGTON - FIR ST (Darrington High School),2435
ECHOLS,2425
Great Basin NP - Maintenance Yard,2424
Linville Falls,2419
CARROLL STREET PARK,2415
Lassen Volcanic NP - Manzanita Lake Fire Station,2415
Voyageurs NP - Sullivan Bay,2411
PAINTED CANYON,2410
Wind Cave NP - Visitor Center,2408
Canyonlands NP - Island in the Sky,2404
Joshua Tree NP - Black Rock,2403
ISWS CLIMATE STATION,2397
Guadalupe Mountain NP - Federal Aviation Administration,2393
LOSTWOOD NWR,2381
EAGLE MOUNTAIN,2379
Craters of the Moon NM & PRES - Visitor Center,2379
Sloss Shuttlesworth,2375
Sinclair,2368
"ST JOHNS ROAD QUAKER CITY, OH",2362
GADSDEN C. COLLEGE,2346
Lava Beds National Monument,2345
Baytown,2342
Petrified Forest NP - South Entrance,2336
TRAILER IN RV PARK (MAYCLIFF RV & STORAGE) (Site closed; new site: JM),2328
