date_of_last_change,count
2019-07-03,1044
2023-03-23,1044
2015-06-05,1033
2018-01-31,1028
2014-03-20,1027
2015-04-15,1023
2014-01-13,1017
2015-07-22,1003
2015-07-28,1000
2019-07-16,985
2019-08-29,983
2015-06-19,975
2020-04-10,968
2018-12-17,960
2015-07-21,956
2021-04-07,946
2019-11-05,932
2021-02-01,930
2021-01-11,881
2021-04-13,878
2017-12-08,874
2020-02-04,871
2018-05-03,869
2016-05-05,866
2013-06-20,864
2023-05-04,858
2014-03-05,856
2023-04-20,846
2013-06-27,833
2015-07-16,830
2015-04-21,830
2016-12-22,802
2015-04-27,802
2021-04-21,787
2019-06-26,781
2022-05-03,781
2018-01-10,738
2017-01-18,732
2021-02-22,732
2017-02-28,732
2017-03-10,732
2021-04-02,732
2021-06-03,732
2020-12-21,730
2014-05-29,730
2019-07-01,730
2016-01-05,730
2019-01-02,730
2021-03-08,730
2021-01-12,730
2021-01-26,730
2019-04-18,730
2020-01-06,730
2019-01-04,730
2020-01-23,730
2019-10-21,730
2019-04-10,730
2020-04-06,730
2014-01-24,730
2020-04-24,730
2015-02-06,730
2019-04-05,730
2022-02-05,730
2020-04-29,730
2020-12-09,730
2016-04-13,730
2019-04-16,730
2016-05-20,730
2018-10-30,730
2014-04-01,730
2014-03-14,730
2021-01-04,729
2015-06-04,728
2017-02-23,728
2023-05-02,728
2020-10-27,726
2020-04-27,726
2014-05-06,726
2014-03-06,726
2020-04-16,726
2022-04-24,726
2018-09-19,724
2021-11-04,724
2014-09-09,724
2018-04-08,724
2015-02-18,722
2017-09-27,722
2020-04-23,720
2014-03-21,720
2019-09-16,720
2020-10-22,718
2014-04-22,718
2019-12-19,718
2021-05-06,718
2020-12-04,716
2019-03-30,716
2014-04-03,716
2015-03-11,715
2018-03-14,715
2016-03-14,715
2017-06-19,714
2015-06-02,714
2016-04-29,714
2017-02-03,714
2018-03-23,712
2021-01-28,711
2021-04-06,710
2014-10-13,710
2022-04-19,710
2014-01-09,708
2017-11-06,708
2017-05-10,708
2017-10-20,708
2015-07-06,707
2018-06-28,706
2021-01-07,704
2019-05-20,704
2015-04-16,702
2018-04-02,702
2019-05-14,702
2019-04-17,702
2016-05-06,702
2015-04-29,700
