parameter_name,count
Mercury PM10-2.5 STP,217
Aluminum PM2.5 STP,216
Cobalt PM2.5 STP,216
Chromium PM10-2.5 STP,216
Cobalt PM10-2.5 STP,216
Copper PM2.5 STP,216
Potassium PM10-2.5 STP,216
Chlorine PM10-2.5 STP,216
Rubidium PM10-2.5 STP,216
Uranium PM10-2.5 STP,216
Iron PM10-2.5 STP,216
Bromine PM10-2.5 STP,216
Yttrium PM10-2.5 STP,216
Chromium PM2.5 STP,216
Calcium PM10-2.5 STP,216
Bromine PM2.5 STP,216
Barium PM2.5 STP,216
Molybdenum PM10-2.5 STP,216
Zirconium PM10-2.5 STP,216
Nickel PM10-2.5 STP,216
Calcium PM2.5 STP,216
Copper PM10-2.5 STP,216
Arsenic PM2.5 STP,216
Manganese PM10-2.5 STP,216
Sulfur PM10-2.5 STP,216
Chlorine PM2.5 STP,215
Silicon PM2.5 STP,214
Rubidium PM2.5 STP,214
Selenium PM2.5 STP,214
Manganese PM2.5 STP,214
Titanium PM2.5 STP,214
Phosphorus PM2.5 STP,214
Molybdenum PM2.5 STP,214
Mercury PM2.5 STP,214
Uranium PM2.5 STP,214
Yttrium PM2.5 STP,214
Sulfur PM2.5 STP,214
Nickel PM2.5 STP,214
Iron PM2.5 STP,214
Zirconium PM2.5 STP,214
Vanadium PM2.5 STP,214
Potassium PM2.5 STP,214
Zinc PM2.5 STP,214
Strontium PM2.5 STP,214
Levoglucosan PM2.5 LC,204
Vinyl bromide,201
Iodide (TSP) STP,195
Calcium (precip),195
Bromide (TSP) STP,195
Fluoride ion,195
"1,1,1,2-Tetrachloroethane",193
Galactosan PM2.5 LC,192
Mannosan PM2.5 LC,192
Carbon dioxide,190
Uranium PM2.5 LC,188
Lead PM10-2.5 STP,188
Lead PM2.5 STP,186
"2,5-Dimethylhexane",183
Chloride (precip),183
Dibenzofuran (TSP) STP,182
m-Tolualdehyde,182
Net radiation,181
Fluoride (paper samplers),181
Total dustfall (SP),179
Chromium VI (TSP) LC,178
Magnesium PM10 STP,176
Potassium (precip),170
Sodium (precip),170
Barium PM10 LC,169
Fluoride (vegation),169
Tin PM10-2.5 STP,167
Antimony PM2.5 STP,165
Antimony PM10-2.5 STP,165
Sulfur PM10 STP,163
Tin PM2.5 STP,163
Mercury (vapor),160
Nitric acid,158
Magnesium (precip),156
Volatile Nitrate PM2.5 LC,154
Unidentified VOC,153
"Particle Number, Total Count",153
Styrene and o-xylene,152
2-Methylnaphthalene (TSP) STP,152
Heptane,151
Molybdenum PM10 LC,150
2-chlorotoluene,150
tert-butyl alcohol,150
Asbestos > 0.5um,146
Asbestos > 5um,146
Sodium PM10 STP,144
Beryllium PM2.5 LC,141
Atmospheric Stability,140
Thallium PM10 STP,139
Phosphorus PM10 STP,138
Zinc PM10 LC,138
Copper PM10 LC,138
Uranium PM10 STP,137
Benzene soluble organics (TSP),137
Silicon PM10 STP,137
Strontium PM10 LC,134
Sodium PM10 LC,130
Iron PM10 LC,130
Butyl benzene,128
Methyl ethyl ketone & methacrolein,127
4-Methylpentene & 3-methylpentene,127
Fluoride PM10 STP,126
Ammonium (TSP) STP,125
Cyclohexene,120
n-Tetradecane,114
Calcium PM10 LC,111
Nonanal,111
Aldehydes,110
3-Ethylhexane,110
"2-Methylhexane & 2,3-dimethylpentane ",109
Bromine PM10 LC,106
Titanium PM10 LC,106
n-Butyl alcohol,106
Boron (TSP) STP,104
"cis-1,2-Dimethylcyclopentane",103
Rubidium PM10 LC,103
"trans-1,3-Dimethylcyclopentane",103
"2,2,3-Trimethylbutane",103
D-limonene,102
"beta.Pinene & 1,2,3- trimethylbenzene",102
Tin PM10 LC,101
Aluminum PM10 LC,98
n-Hexadecane,96
n-Pentadecane,96
Alpha-terpinene (TSP) STP,96
1-Methylnapthalene,96
4-Phenylcyclohexene,96
p-tert-butyl toluene,96
Carbazole (TSP) STP,92
Silicon PM10 LC,90
Chlorine PM10 LC,90
Sulfur PM10 LC,90
Phosphorus PM10 LC,90
dichlorofluoromethane,86
Boron PM10 STP,85
Palladium PM10 STP,85
Gallium PM10 STP,85
Lanthanum PM10 STP,84
"o-Xylene & 1,1,2,2-tetrachloroethane",84
Indium PM10 STP,84
Yttrium PM10 LC,82
"3,3'-Dichlorobenzidene (TSP) STP",81
OCX Carbon PM2.5 LC,75
Suspended particulate (TSP) LC,74
Pinene & p-ethytoluene,74
Butryl-aldehyde & Methyl Ethyl Ketone,74
Ultraviolet radiation (type B),73
"2,4,4-Trimethyl-1-pentene",72
"1,2-Dichloroethene(total)",71
1-Bromopropane,68
Optical EC PM2.5 LC TOT,68
Cadmium PM10-2.5 STP,63
Vert Wind Direction,62
Cadmium PM2.5 STP,62
Mixing Height,60
"2,6-dimethylnaphthalene (TSP) STP",58
Biphenyl,56
Beta radiation (TSP),53
Selenium (TSP) LC,53
Dustfall Combustible (SP),51
"2,4-Dichlorophenol (TSP) STP",50
"2,4,5-Trichlorophenol (TSP) STP",50
"2,4,6-Trichlorophenol (TSP) STP",50
Silver PM10 LC,50
4-Chloro-3-methylphenol  (TSP) STP,50
"2,3,4,6-Tetrachlorophenol (TSP) STP",50
"2,6-Dichlorophenol (TSP) STP",50
Chlorine (TSP) STP,49
m and p-Cresol  (TSP) STP,46
o-Cresol (TSP) STP,46
Phenol  (TSP) STP,46
Cobalt (TSP) LC,46
Antimony (TSP) LC,46
"Cyclopentane & 2,3-dimethylbutane",44
"1,2-Butadiene",41
Indium (TSP) STP,41
Gallium (TSP) STP,41
m/p Ethyltoluene,41
NITROUS OXIDE,39
Diethyl phthalate  (TSP) STP,39
Black Carbon  PM2.5 Corrected,39
Total non-asbestos fibers,38
Thallium PM2.5 LC,38
2-Chloronaphthalene (TSP) STP,38
"2,7-dimethylnaphthalene (TSP) STP",38
Palladium PM2.5 LC,38
bis (2-chloroethyl)ether  (TSP) STP,37
Hexachloroethane (TSP) STP,37
Isodrin  (TSP) STP,36
2-Picoline  (TSP) STP,36
3-Nitroaniline  (TSP) STP,36
Safrole (TSP) STP,36
N-Nitrosopiperidine  (TSP) STP,36
Hexachloropropene  (TSP) STP,36
Phenacetin  (TSP) STP,36
Diallate  (TSP) STP,36
Benzidine  (TSP) STP,36
"1,2,4-Trichlorobenzene (TSP) STP",36
4-Aminobiphenyl  (TSP) STP,36
"1,3-Dinitrobenzene (TSP) STP",36
Hexachlorobutadiene  (TSP) STP,36
Hexachlorobenzene (TSP) STP,36
bis(2-chloroethoxy)methane  (TSP) STP,36
5-Nitro-o-toluidine  (TSP) STP,36
"7,12-Dimethylbenz[a]anthracene  (TSP) STP",36
"1,4-Dichlorobenzene (TSP) STP",36
"2,4-Dinitrophenol (TSP) STP",36
Benzyl alcohol  (TSP) STP,36
"1,3-Dichlorobenzene (TSP) STP",36
Di-n-octyl phthalate  (TSP) STP,36
Isosafrole  (TSP) STP,36
Ethane & acetylene,36
2-Chlorophenol  (TSP) STP,36
"2,6-Dinitrotoluene (TSP) STP",36
Diphenylamine  (TSP) STP,36
Pentachloroethane  (TSP) STP,36
Chlorobenzilate  (TSP) STP,36
Isomers of dodecane,36
N-Nitrosodibutylamine  (TSP) STP,36
4-Nitroaniline  (TSP) STP,36
Methyl methanesulfonate  (TSP) STP,36
Dimethyl phthalate  (TSP) STP,36
2-Nitroaniline  (TSP) STP,36
o-Toluidine (TSP) STP,36
"2,4-Dimethylphenol (TSP) STP",36
Pentachlorophenol (TSP) STP,36
Ethyl methanesulfonate  (TSP) STP,36
4-Nitrophenol  (TSP) STP,36
Butyl benzyl phthalate  (TSP) STP,36
2-Naphthylamine  (TSP) STP,36
Nitrobenzene (TSP) STP,36
bis(2-chloroisopropyl)ether  (TSP) STP,36
4-Chlorophenyl-phenyl ether  (TSP) STP,36
4-Dimethylaminoazobenzene  (TSP) STP,36
3-Methylcholanthrene  (TSP) STP,36
Pentachloronitrobenzene (TSP) STP,36
"4,6-Dinitro-2-methylphenol  (TSP) STP",36
2-Nitrophenol  (TSP) STP,36
1-Naphthylamine (TSP) STP,36
bis(2-ethylhexyl)phthalate  (TSP) STP,36
N-Nitrosodipropylamine  (TSP) STP,36
Aniline  (TSP) STP,36
N-Nitrosodimethylamine (TSP) STP,36
4-Chloroaniline  (TSP) STP,36
N-Nitrosomethylethylamine  (TSP) STP,36
Hexachlorocyclopentadiene (TSP) STP,36
"3,3'-Dimethoxybenzidine  (TSP) STP",36
Dinoseb  (TSP) STP,36
N-Nitrosopyrrolidine  (TSP) STP,36
2-Acetylaminofluorene (TSP) STP,36
"2,4-Dinitrotoluene (TSP) STP",36
4-Bromophenyl phenyl ether  (TSP) STP,36
N-Nitrosodiethylamine  (TSP) STP,36
Acetophenone  (TSP) STP,36
Di-n-butyl phthalate  (TSP) STP,36
"1,2-Dichlorobenzene (TSP) STP  ",36
Isophorone (TSP) STP,36
Azobenzene  (TSP) STP,36
"1,2,4,5-Tetrachlorobenzene (TSP) STP",36
Pentachlorobenzene (TSP) STP,36
"1,4-Naphthoquinone (TSP) STP",36
Pronamide (TSP) STP,36
Pyridine (TSP) STP,36
m(and p)-Ethyltoluene,35
4-Methylheptane,34
Volume (precip),33
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl (TSP) STP",30
"2,3',4'-Trichlorobiphenyl (TSP) STP",30
Mixture PCB 4/10 (TSP) STP,30
"2,2',3,4',5'-Pentachlorobiphenyl (TSP) STP",30
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (TSP) STP",30
"2,3,3',4,4',6-Hexachlorobiphenyl (TSP) STP",30
"2,2',3,3',4,4'-Hexachlorobiphenyl (TSP) STP",30
"2,2',3,3',5,5',6-Heptachlorobiphenyl (TSP) STP",30
Mixture PCB 56/60 (TSP) STP,30
Methanol,30
"2,3',4',5-Tetrachlorobiphenyl (TSP) STP",30
"2,2',3,4,4',5',6-Heptachlorobiphenyl (TSP) STP",30
"2,2',3,4,5,5'-Hexachlorobiphenyl (TSP) STP",30
"2,3',6-Trichlorobiphenyl (TSP) STP",30
"2,2',3,4,4',5,5'-Heptachlorobiphenyl (TSP) STP",30
"2,3,4',5-Tetrachlorobiphenyl (TSP) STP",30
"2,3',4,4'-Tetrachlorobiphenyl (TSP) STP",30
"2,2',3,4,5'-Pentachlorobiphenyl (TSP) STP",30
"2,3',5-Trichlorobiphenyl (TSP) STP",30
"2,2',3,4',5,5'-Hexachlorobiphenyl (TSP) STP",30
"3,3',4,4',5,5'-Hexachlorobiphenyl (TSP) STP",30
"2,2',3,4,4'-Pentachlorobiphenyl (TSP) STP",30
"2,2',5,6'-Tetrachlorobiphenyl (TSP) STP",30
"2,2',3,5'-Tetrachlorobiphenyl (TSP) STP",30
"2,2',3,3',4,5'-Hexachlorobiphenyl (TSP) STP",30
"2,2',3,6'-Tetrachlorobiphenyl (TSP) STP",30
"2,2',3,4,5,5',6-Heptachlorobiphenyl (TSP) STP",30
"2,2',3,4',5',6-Hexachlorobiphenyl (TSP) STP",30
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl (TSP) STP",30
"2,3'-Dichlorobiphenyl (TSP) STP",30
"2,3,3',4',5,5',6-Heptachlorobiphenyl (TSP) STP",30
"2,2',3,3',5-Pentachlorobiphenyl (TSP) STP",30
Mixture PCB 41/71/64 (TSP) STP,30
"2,2',3,3',4-Pentachlorobiphenyl (TSP) STP",30
"2,2',5-Trichlorobiphenyl (TSP) STP",30
"2,2',3,5,5'-Pentachlorobiphenyl (TSP) STP",30
Mixture PCB 18/32 (TSP) STP,30
Mixture PCB 37/42 (TSP) STP,30
"2,3',4-Trichlorobiphenyl (TSP) STP",30
Mixture PCB 171/202 (TSP) STP,30
Mixture PCB 7/ 9 (TSP) STP,30
"2,2',3,4',6-Pentachlorobiphenyl (TSP) STP",30
"2,4,4',5-Tetrachlorobiphenyl (TSP) STP",30
"2,3,3',4,4',5-Hexachlorobiphenyl (TSP) STP",30
"2,2',3,5',6-Pentachlorobiphenyl (TSP) STP",30
Mixture PCB 203/196 (TSP) STP,30
