local_site_name,count
SITE IS LOCATED AT THE CHIPITA PARK ELECTRICAL SUBSTATION.,4490
SITE IS LOCATED JUST NORTH OF THE NIXON POWER PLANT.,4466
Moose's,4404
Near Road - Fort Lauderdale,4389
Jackson FS19,4350
UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,4318
BISMARCK RESIDENTIAL,4296
Springfield Near Road Site,4295
CORLETT SCHOOL,4294
BOLTON PARK EAST OF HANES MALL,4262
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,4254
White Mountain Research Center - Owens Valley Lab,4213
Sherwood Island Connector,4182
Diablo,4180
HAZELDELL/7701 NE HIGHWAY 99,4106
Victorville-Amargosa Road,4089
Sawgrass Lake Park (Near-Road),4087
Horn Point,4074
Sacramento-Bercut Drive,4069
Remount,4064
4434 196TH ST SW - LYNNWOOD,4058
Rancho & Teddy,4028
Triple Oak,4016
Boulder City,4012
PLANT SITE --- QUALITECH,4004
TRIWEST HIGH SCHOOL --- QUALITECH_DOWNWIND SITE,3998
Henderson,3996
EVANSVILLE CO,3974
St. Marks Wildlife Refuge,3951
Paul Meyer,3950
El Cajon - Lexington Elementary School,3940
LEXINGTON PRIMARY,3937
High CO Area,3935
UTM COORDINATES = PROBE LOCATION,3914
CORNER OF NW EXPRESSWAY AND BROOKSIDE,3878
"REPLACES THE ADAMS ST. SITE, 390811012",3870
San Jose-W. San Carlos St.,3865
San Pablo - El Portal Center,3851
Berkeley- Aquatic Park,3822
NORTH OF JOY RD./WEST OF SPINOZA/NEAR DETROIT POLICE HORSE STABLES,3812
"AT CBTIS, CORNER OF CALZADA CUAUHTEMOC & CALLE RIO ELOITA, MEXICALI",3768
Munro Street (Near-Road),3755
San Antonio Interstate 35,3754
Austin North Interstate 35,3754
120 NORTH 27TH STREET,3738
Lee High School,3728
A421070002LAT/LON POINT IS AT CORNER OF TRAILER,3694
Queens College Near Road,3635
ADEQ,3629
TRAILER ON EAST CORNER OF EAST WASHINGTON AND FIRST ST,3618
MARYVALE-POLICE STN-ENCANTO BLVD NEAR 59TH AVE,3614
NEWKIRK IMPROVE,3593
LAT/LON POINT = NE CORNER OF TRAILER,3591
COM ED TRAINING CENTER,3571
Arvin-Di Giorgio,3566
OAPCA OFFICE,3526
Car-Barn Montgomery I -76,3524
VENICE CO SITE.,3457
Gilroy,3407
"INTERSECTION OF FOUNTAIN AND ACADEMY, SOUTHEAST OF THE CITY",3393
North Mojave,3343
Sabino Canyon,3318
Shadyside,3305
North Scottsdale,3299
NORTHGATE APARTMENTS NORTHGATE WAY SEATTLE,3290
Rocklin,3260
Echo Summit,3226
Houston East,3222
LIVONIA-NR,3212
West Yellowstone City Center,3212
Converse County Long-Term,3177
Union County #1 Jensen,3166
Lindon,3152
OWENSBORO PRIMARY,3145
Bakersfield-Chester Ave.,3129
"IDAHO & MAIN, KSPL N SIDE OF US 2, 1/2 BLK E OF US 93 INTERSECTION",3123
Oildale,3110
