local_site_name,count
GUTHRIE CLINIC PM 2.5,3138
Mercedes,3136
NW OF BORDER HWY IN ASCARATE PARK,3115
Union County #1 Jensen,3113
PERSHING SCHOOL,3108
SPARTANBURG CITY HALL,3094
EMMERSON SCHOOL,3086
Connecticut Hill,3085
NOAA,3080
SPIRES,3068
FIRE DEPT ADMIN BLDG,3064
GREENWOOD DSS,3061
Portland Cully Helensview School (PCH),3056
Aldino,3054
RICHMOND POST OFFICE,3050
POTAWATOMI,3030
Berkeley,3027
HOOK FIELD AIRPORT,3000
FRESHKILLS EAST,2996
Bakersfield-Golden / M St,2991
Hammond- Purdue/ Powers Bldg. Purdue University,2983
VANCOUVER - 4TH PL BLVD E,2976
Port Huron,2960
Monroe / Airport,2938
Mille Lacs Band,2935
LAZY DAZ,2900
Bakersfield-Chester Ave.,2894
Stout Field 2,2894
Miami Fire Station,2868
LAKE FOREST PARK TOWNE CENTER,2865
NR-285,2843
NORTH OF CAMPBELL & FRANKLIN INTERSECTION,2836
Livermore - Old 1st St.,2835
PAMS-OZONE-NOX ANALYZERS ARE LOCATED AT SOUTH CAROLINE STREET.,2829
Laurel,2826
LIBRARY (DAYTON PUBLIC,2821
PREMIER,2808
WINYAH,2806
Pittsburg - W 10th St.,2798
Kearny Mesa,2780
Eugene - Hwy 99 (E99),2768
EASTERN DISTRICT HIGH SCHOOL,2762
MSP Airport,2731
BEECH ISLAND FIRE STATION,2713
Vandalia Street,2704
Tucker-Idlewood Road,2678
Superfund Site,2676
KODAK AREA,2669
TOP OF APARTMENT BUILDING - 36 METERS FROM ROUTE 2 (MAIN STREET),2665
Isla Blanca State Park Road,2664
Houston East,2646
TOP OF CADILLAC MTN (FENCED ENCLOSURE),2632
Hopedale,2632
Austin Audubon Society,2622
F. S. NO. 22,2616
CAYCE FIRE STATION,2605
Hillsboro - Hare Field,2564
109 BUCKLIN STREET,2551
WEST OF WARD & WYATT RD. INTERSECTION,2548
TAYLORS,2544
Morrell,2539
Mountain View - Cuesta,2500
Port Arthur Memorial School,2496
ODOT Ironton,2478
Barack Rec Center,2478
SUMTER FAMILY COURT,2478
BOSTON LONG ISLAND,2473
Sinclair,2472
Southwick,2460
Elkhart- Prairie St.,2448
El Rio-Rio Mesa School #2,2445
SPOKANE - FERRY ST,2437
MTA FIRE TRAINING ACADEMY,2434
Kingsport PM 2.5 monitor,2412
Greenville ESC,2404
Haywood Toxics,2403
Portola,2390
Laney College,2389
Lebec-Peace Valley Road,2380
FRESHKILLS NETWORK,2368
NE OF LAWTON & W. MISSOURI INTERSECTION,2357
Evansville CAAP,2352
Sebastopol,2350
JARDINE WATER PLANT,2342
East Chicago High School,2307
WALDORF,2301
JUSTICE CENTER,2289
Grenada,2278
Sunnyvale - Ticonderoga,2276
Beaverton - Highland Park,2260
FIRESTATION,2255
MORRISANIA,2252
PORT HURON-RURAL,2244
STATE HOSPITAL,2236
Oakland - Filbert St.,2231
SUSAN WAGNER HS,2230
El Cajon - Floyd Smith Dr.,2220
Libby Courthouse Annex,2196
ADOK,2185
Garyville,2180
BENT CREEK,2165
HILLSIDE,2165
Clarksville PM 2.5 monitor,2160
MINGO_JCT.,2160
Hahnville,2154
Gertrude,2153
LAT/LONG POINT IS OF SAMPLING INLET.................................,2147
Conyers,2141
San Jose - Knox Avenue,2134
Sherwood Island Connector,2129
HOWARD Adult Center,2126
Ellyson Industrial Park,2108
Lenoir Co. Comm. Coll.,2106
MPCA SITE 0959 INTER PLASTICS,2094
NMH48217 NEW MT HERMAN CHURCH,2094
F.S. NO. 11,2085
Riggins School,2084
1997/1998 MN AIR TOXICS SITE,2075
100 FEET SOUTH OF 8TH STREET,2073
San Pablo - El Portal Center,2066
Gallia Pike North,2063
Perdue,2052
Lowry Avenue,2050
Antioch,2045
SIU DENTAL CLINIC,2034
MARYSVILLE - 7TH AVE (Marysville Junior High),2034
Back Road,2034
Red Rock Road,2034
DUNEDIN HIGHLAND MIDDLE SCHOOL,2034
Gallia Pike South,2022
Carlsbad Caverns NP - Maintenance Area,1970
PARACHUTE - HIGH SCHOOL,1928
FLORENCE COUNTY HEALTH DEPT.,1926
KALAMAZOO FAIRGROUNDS,1923
St. Petersburg College,1902
Waveland,1901
"Prairie State Generating Company, LLC",1896
PARKER FIRE STATION,1896
WEST 43RD AVENUE,1892
Parlier,1883
BAXTER (BAX),1872
North Pole Fire Station #3,1872
HAMPTON II,1867
GLENBROOK,1860
ANDERSON SPRINGS,1848
MESA CO HLTH DEPT BLDG,1840
BEAUFORT,1828
East Health,1821
Belding,1820
San Ramon,1813
Meraux,1808
VFW BUILDING,1806
Wrightwood,1800
"USGS Geomagnetic Center, Corbin",1795
CONGAREE BLUFF,1788
Lancaster DW,1786
___________NO INFORMATION AT THIS TIME,1773
RBD,1770
Neah Bay (Makah Tribe),1765
TRNP-NU,1758
Holland,1733
GEORGETOWN COUNTY HEALTH DEPT,1728
Avalon,1720
338 FEET NORTH TO I-696 FREEWAY,1717
Patterson Pass,1705
Highland View Elementary School,1704
Sloss Shuttlesworth,1700
SUL ROSS UNIVERSITY,1686
Socorro Hueco,1680
Salem - State Hospital,1677
Washington Career,1652
Car-Barn Montgomery I -76,1649
Taft-College,1626
South Fayette,1613
