date_of_last_change,count
2013-07-29,346
2021-03-22,346
2021-10-19,346
2018-10-05,340
2015-04-23,336
2017-10-20,335
2016-11-02,312
2020-09-09,308
2015-12-07,303
2017-09-29,302
2014-09-09,302
2014-07-30,298
2017-09-27,294
2021-04-23,282
2013-07-09,280
2019-04-04,280
2013-06-26,273
2014-10-28,273
2019-07-17,272
2019-09-18,270
2022-04-15,270
2017-08-03,259
2014-12-10,254
2013-06-28,252
2017-11-01,251
2017-09-26,240
2019-08-29,240
2019-08-07,240
2022-05-31,240
2021-07-01,239
2023-04-10,236
2021-06-24,234
2013-09-17,227
2023-04-07,226
2015-09-02,216
2021-09-24,210
2020-03-26,209
2017-11-22,206
2018-09-26,202
2016-07-21,201
2017-05-31,188
2018-06-08,188
2013-08-16,186
2019-11-08,184
2015-04-17,184
2020-05-28,184
2020-08-06,182
2018-06-20,182
2016-06-30,181
2019-05-28,180
2019-06-25,180
2015-04-21,180
2023-04-18,180
2019-06-05,180
2018-06-25,180
2014-09-17,176
2023-04-28,164
2019-03-11,162
2017-11-28,161
2020-07-06,154
2015-06-19,153
2016-07-15,138
2021-12-20,138
2015-10-01,136
2018-08-28,134
2020-06-26,132
2021-09-14,132
2023-03-15,124
2014-05-06,122
2023-04-03,118
2023-04-19,118
2014-09-03,118
2016-06-21,112
2019-09-11,104
2016-06-07,96
2021-05-27,90
2023-05-01,90
2015-10-05,88
2014-05-15,84
2020-07-09,74
2013-06-25,70
2018-11-14,70
2016-09-30,66
2022-03-01,64
2023-03-27,62
2019-06-19,59
2019-01-02,56
2018-05-29,50
2023-03-13,48
2014-12-31,45
2019-06-13,30
2018-03-23,29
2020-04-02,26
2023-02-14,2
